"event_family","field","coverage_status","implementation_path","audit_status","remaining_evidence_state"
"market_context","spx_quote_age_ms","covered_fail_closed","quote_freshness_from_ticker plus market_snapshot_payload","fail_closed_if_missing","Requires ticker timestamp from live source"
"market_context","vix_quote_age_ms","covered_fail_closed","quote_freshness_from_ticker plus market_snapshot_payload","fail_closed_if_missing","Requires ticker timestamp from live source"
"market_context","context_age_ms","covered","market_snapshot_payload and guard context payload","fail_closed_required_market_snapshot","Awaiting live no-order evidence"
"option_quote","expiry","covered","live_option_quotes and selected_contract_payload","schema_and_fake_covered","Awaiting live no-order evidence"
"option_quote","settlement","covered","live_option_quotes and selected_contract_payload set SPXW PM metadata","fail_closed_for order-selected contracts","Awaiting live no-order evidence"
"option_quote","strike","covered","live_option_quotes and selected_contract_payload","schema_and_fake_covered","Awaiting live no-order evidence"
"option_quote","right","covered","live_option_quotes and selected_contract_payload","schema_and_fake_covered","Awaiting live no-order evidence"
"option_quote","bid","covered","live_option_quotes, selected_contract_payload, executor quote payload","schema_and_fake_covered","Awaiting live no-order evidence"
"option_quote","ask","covered","live_option_quotes, selected_contract_payload, executor quote payload","schema_and_fake_covered","Awaiting live no-order evidence"
"option_quote","bid_size","covered","live_option_quotes and selected_contract_payload","schema_and_fake_covered","Awaiting live no-order evidence"
"option_quote","ask_size","covered","live_option_quotes and selected_contract_payload","schema_and_fake_covered","Awaiting live no-order evidence"
"option_quote","raw_quote_timestamp_utc","covered_fail_closed","live_option_quotes and normalize_selected_contract","fail_closed_if selected quote missing timestamp","Requires ticker timestamp from live source"
"option_quote","quote_age_ms","covered_fail_closed","live_option_quotes and normalize_selected_contract","fail_closed_if selected quote missing age","Requires ticker timestamp from live source"
"candidate","candidate_set_hash","covered","candidate_contracts_payload plus stable_json_hash","fail_closed_required_candidate_and_decision","Awaiting live no-order evidence"
"candidate","feature_vector_hash","covered","candidate_feature_hash","fail_closed_required_candidate_and_decision","Awaiting live no-order evidence"
"candidate","candidate_count","covered","Protocol158/160 candidate_set events","fail_closed_required_candidate_set","Awaiting live no-order evidence"
"candidate","top_rejected_contracts","partial","protocol101_candidate_gate_diagnostics already emits top_rejected_contracts","not independently fail_closed yet","Covered in diagnostics, but validator currently checks filter_reason rather than every diagnostic subfield"
"candidate","filter_reasons","partial","candidate_gate_diagnostics.filter_reason and validation reasons","fail_closed_on filter_reason for candidate_set","Plural per-contract filter list is not separately normalized"
"model","action_mask","covered","predict_protocol101_entry and model_reconstruction_payload","fail_closed_required_model_decision","Awaiting live no-order evidence"
"model","raw_logits","covered","predict_protocol101_entry and model_reconstruction_payload","fail_closed_required_model_decision","No-candidate decisions truthfully log empty logits because model forward is not run"
"model","wait_logit","covered","predict_protocol101_entry and model_reconstruction_payload","schema_and_fake_covered","No-candidate decisions log null wait_logit by design"
"model","candidate_logits","covered","predict_protocol101_entry and model_reconstruction_payload","schema_and_fake_covered","No-candidate decisions log empty candidate logits by design"
"model","selected_action","covered","predict_protocol101_entry and model_reconstruction_payload","fail_closed_required_model_decision","Awaiting live no-order evidence"
"model","selected_contract","covered","model_reconstruction_payload and selected_contract_payload","schema_and_fake_covered","No-entry decisions have empty selected contract by design"
"model","selected_margin","covered","predict_protocol101_entry and model_reconstruction_payload","schema_and_fake_covered","No-candidate decisions have null selected margin by design"
"model","threshold","covered","predict_protocol101_entry and model_reconstruction_payload","fail_closed_required_model_decision","Awaiting live no-order evidence"
"model","no_entry_reason","covered","predict_protocol101_entry and validate_observability_contract","fail_closed_if no-entry reason missing","Awaiting live no-order evidence"
"guard","guard_passed","covered","ibkr_paper_guard, risk_gate_payload, executor_result_event","fail_closed_required_risk_gate","Awaiting live dry-run or fake guard evidence"
"guard","guard_block_reasons","covered","ibkr_paper_guard, risk_gate_payload, executor_result_event","fail_closed_required_risk_gate","Awaiting live dry-run or fake guard evidence"
"guard","account_prefix_ok","partial","paper_order_permission and executor_result_event","fake_covered; live pre-intent risk gate does not know account prefix","Full account-prefix evidence requires executor guard chain"
"guard","real_money_false_confirmed","covered","paper_order_permission, validate_order_intent, executor_result_event","fake_covered and real_money fail_closed","Awaiting live dry-run evidence"
"guard","quantity_ok","covered","validate_order_intent and executor_result_event","fail_closed_quantity_above_one","Awaiting live dry-run evidence"
"guard","one_open_position_ok","covered","validate_order_intent and executor_result_event","schema_and_fake_covered","Awaiting live dry-run evidence"
"guard","quote_freshness_ok","covered","validate_order_intent and executor_result_event","fail_closed_selected_quote_missing timestamp/age","Awaiting live dry-run evidence"
"guard","context_freshness_ok","covered","validate_order_intent and executor_result_event","schema_and_fake_covered","Awaiting live dry-run evidence"
"guard","affordability_ok","covered","validate_order_intent and executor_result_event","schema_and_fake_covered","Awaiting live dry-run evidence"
"order_intent","intent_id","covered","make_intent_id and executor base result","fail_closed_required_order_events","Awaiting live dry-run evidence"
"order_intent","dry_run","covered","executor_result_event order payload","fail_closed_required_dry_run/submit","Awaiting live dry-run evidence"
"order_intent","action","covered","intent_order_payload and executor_result_event","fail_closed_required_order_events","Awaiting live dry-run evidence"
"order_intent","quantity","covered","intent_order_payload and executor_result_event","fail_closed_quantity_above_one","Awaiting live dry-run evidence"
"order_intent","limit_price","covered","intent_order_payload and executor_result_event","fail_closed_required_order_events","Awaiting live dry-run evidence"
"order_intent","contract_payload","covered","executor_result_event and log_fill_or_status order payload","fail_closed_required_dry_run/submit","Awaiting live dry-run evidence"
"order_intent","order_payload","covered","executor_result_event and log_fill_or_status order payload","fail_closed_required_dry_run/submit","Awaiting live dry-run evidence"
"broker","broker_order_id","partial","order_preview/trade_preview/executor_result_event support order id fields","fake_covered for submit fixture","Real IBKR paper order id remains unobserved"
"broker","broker_status","covered_fake_only","log_fill_or_status and broker_status extra; fake audit covers status chain","fake_covered","Real broker status remains unobserved"
"broker","filled_quantity","covered_fake_only","order_status_summary and log_fill_or_status","fake_covered","Real fill remains unobserved"
"broker","average_fill_price","covered_fake_only","order_status_summary and log_fill_or_status","fake_covered","Real fill remains unobserved"
"broker","cancel_requested","covered_fake_only","wait_for_order_resolution and log_fill_or_status","schema_and_fake_covered","Real cancel/timeout remains unobserved"
"broker","final_status","covered_fake_only","executor_result_event and log_fill_or_status","fail_closed_required_status rows","Real broker final status remains unobserved"
"lifecycle","position_detected","covered_fake_and_exit_path","handle_open_position, log_fill_or_status, lifecycle_state fake","fail_closed_required_lifecycle events","Real open-position lifecycle remains unobserved"
"lifecycle","runtime_state_hash","partial","handle_open_position and lifecycle fake","fail_closed_required_lifecycle events","Entry fill path does not prove runtime state until real/fake lifecycle chain provides it"
"lifecycle","lifecycle_feature_vector_hash","partial","handle_open_position lifecycle extra and lifecycle fake","fake_covered","Real lifecycle decision remains unobserved"
"lifecycle","lifecycle_action","covered_fake_and_exit_path","handle_open_position and lifecycle fake","fail_closed_required_lifecycle events","Real lifecycle decision remains unobserved"
"lifecycle","exit_intent_id","covered_fake_and_exit_path","handle_open_position and lifecycle fake","schema_and_fake_covered","Real exit intent remains unobserved"
"lifecycle","forced_flat_triggered","covered_fake_and_exit_path","handle_open_position and lifecycle fake","schema_and_fake_covered","Real forced-flat remains unobserved"
"lifecycle","final_position_state","covered_fake_only","log_fill_or_status and lifecycle fake","fail_closed_required_lifecycle events","Real final position state remains unobserved"
