experiment	score	status	description
exp_069	4.624281	revert	score=4.624 folds=[4.60,4.69,4.74,5.02,4.08] MFE+gate-scaling still too many trades WR=47% PF=2.14 PDR=68%
exp_070	2.841223	revert	score=2.841 folds=[4.40,-0.20,2.03,2.98,5.00] std=1.85 remove direction-asymmetric loss — fold 1 collapsed
exp_074	0.000000	revert	score=0.000 folds=[0,0,0,0,0] exact-chain baseline attempt — zero trades all folds
exp_075	0.000000	revert	score=0.000 folds=[0,0,0,0,0] decouple gate from selection — still zero trades
exp_076	-0.040000	revert	score=-0.040 folds=[0,0,0,-0.2,0] gate_threshold=-100 (disable absolute threshold) — 1 fold fires
exp_077	-0.300000	revert	score=-0.300 folds=[-0.3,-0.3,-0.3,-0.3,-0.3] SEL_W=0 drop selection CE — negative all folds
exp_078	-0.740000	revert	score=-0.740 folds=[-1,-0.5,-1,-1,-0.2] PNL_W=5.0 stronger P&L regression — negative edge
exp_079	-999	revert	screening: soft KL selection (temp=0.05) — beats 2/4 baselines, best_epoch=11, WR=27.1% dir=23%
exp_080	-999	revert	screening: PNL_W=0 TEMP=0.20 — best baseline, dir=42% WR=36.2%
exp_081	-999	revert	screening: +NO_TRADE_W=3.0 — gate unstable, dir=30% WR=32.2%
exp_082	-999	revert	screening: +PNL_W=0.1 — PNL kills direction, dir=11% WR=28.8%
exp_083	-999	revert	screening: +side head (d//4 bottleneck, dropout=0.3) — corrupted context, dir=1% WR=31.3%
exp_084	-999	revert	screening: +GATE_W=3.0 — no effect on trade rate, dir=24% WR=33.9%
exp_085	-999	revert	screening: gate_threshold=0.0 — filtered good trades, dir=63% WR=32.2%
exp_086	-999	revert	screening: side-masked KL targets — lost side signal, dir=79% WR=30.5%
exp_087	-999	revert	screening: SOFT_TEMP=1.0 — very soft KL targets for broader gradient
exp_016	3.284028	unknown	score=3.284 [from artifact]
exp_017	4.883721	unknown	score=4.884 [from artifact]
exp_018	4.933333	unknown	score=4.933 [from artifact]
exp_019	4.468085	unknown	score=4.468 [from artifact]
exp_020	4.636364	unknown	score=4.636 [from artifact]
exp_021	5.052632	unknown	score=5.053 [from artifact]
exp_022	2.100481	unknown	score=2.100 [from artifact]
exp_023	4.631579	unknown	score=4.632 [from artifact]
exp_024	5.785714	unknown	score=5.786 [from artifact]
exp_025	5.333333	unknown	score=5.333 [from artifact]
exp_026	5.181818	unknown	score=5.182 [from artifact]
exp_027	-0.500000	unknown	score=-0.500 [from artifact]
exp_028	4.800000	unknown	score=4.800 [from artifact]
exp_029	5.052632	unknown	score=5.053 [from artifact]
exp_030	4.800000	unknown	score=4.800 [from artifact]
exp_031	4.714286	unknown	score=4.714 [from artifact]
exp_059b	-195.690610	unknown	score=-195.691 folds=[4.80,5.38,-999.00,5.25,5.12] std=401.65 [from artifact]
