trade_number,session,segment,decision_time,contract_id,side,quantity,cash_before,daily_pnl_before,premium_exposure,risk_passed,risk_reason,premium_required,premium_cap,daily_stop_loss
32,2024-10-11,q4_2024_external,2024-10-11T15:27:00+00:00,SPXW-20241011-05790.000-C,CALL,1,26370.0,2220.0,2430.0,True,pass,2430.0,8000.0,-1500.0
33,2024-10-11,q4_2024_external,2024-10-11T17:30:00+00:00,SPXW-20241011-05780.000-C,CALL,1,26510.0,2360.0,2930.0,True,pass,2930.0,8000.0,-1500.0
34,2024-10-14,q4_2024_external,2024-10-14T14:00:00+00:00,SPXW-20241014-05820.000-C,CALL,1,26820.0,0.0,3450.0,True,pass,3450.0,8000.0,-1500.0
35,2024-10-14,q4_2024_external,2024-10-14T14:23:00+00:00,SPXW-20241014-05835.000-C,CALL,1,26610.0,-210.0,1990.0,True,pass,1990.0,8000.0,-1500.0
36,2024-10-14,q4_2024_external,2024-10-14T14:36:00+00:00,SPXW-20241014-05835.000-C,CALL,1,26730.0,-90.0,2340.0,True,pass,2340.0,8000.0,-1500.0
37,2024-10-14,q4_2024_external,2024-10-14T15:02:00+00:00,SPXW-20241014-05835.000-C,CALL,1,25890.0,-930.0,1510.0,True,pass,1510.0,8000.0,-1500.0
38,2024-10-15,q4_2024_external,2024-10-15T14:10:00+00:00,SPXW-20241015-05880.000-P,PUT,1,26140.0,0.0,2130.0,True,pass,2130.0,8000.0,-1500.0
39,2024-10-15,q4_2024_external,2024-10-15T14:35:00+00:00,SPXW-20241015-05850.000-P,PUT,1,26270.0,130.0,1290.0,True,pass,1290.0,8000.0,-1500.0
40,2024-10-16,q4_2024_external,2024-10-16T14:03:00+00:00,SPXW-20241016-05790.000-C,CALL,1,26810.0,0.0,2540.0,True,pass,2540.0,8000.0,-1500.0
41,2024-10-16,q4_2024_external,2024-10-16T14:28:00+00:00,SPXW-20241016-05805.000-C,CALL,1,28110.0,1300.0,2540.0,True,pass,2540.0,8000.0,-1500.0
42,2024-10-16,q4_2024_external,2024-10-16T14:54:00+00:00,SPXW-20241016-05790.000-C,CALL,1,27530.0,720.0,3279.9999999999995,True,pass,3280.0,8000.0,-1500.0
43,2024-10-17,q4_2024_external,2024-10-17T14:01:00+00:00,SPXW-20241017-05860.000-P,PUT,1,27740.0,0.0,1150.0,True,pass,1150.0,8000.0,-1500.0
44,2024-10-17,q4_2024_external,2024-10-17T14:37:00+00:00,SPXW-20241017-05865.000-P,PUT,1,28150.0,410.0,1630.0,True,pass,1630.0,8000.0,-1500.0
45,2024-10-17,q4_2024_external,2024-10-17T15:02:00+00:00,SPXW-20241017-05870.000-P,PUT,1,28280.0,540.0,2400.0,True,pass,2400.0,8000.0,-1500.0
46,2024-10-17,q4_2024_external,2024-10-17T18:11:00+00:00,SPXW-20241017-05855.000-P,PUT,1,27780.0,40.0,1130.0,True,pass,1130.0,8000.0,-1500.0
47,2024-10-18,q4_2024_external,2024-10-18T14:03:00+00:00,SPXW-20241018-05830.000-C,CALL,1,27920.0,0.0,2620.0,True,pass,2620.0,8000.0,-1500.0
48,2024-10-18,q4_2024_external,2024-10-18T14:40:00+00:00,SPXW-20241018-05840.000-C,CALL,1,27910.0,-10.0,1789.9999999999998,True,pass,1790.0,8000.0,-1500.0
49,2024-10-18,q4_2024_external,2024-10-18T15:06:00+00:00,SPXW-20241018-05845.000-C,CALL,1,28000.0,80.0,1440.0,True,pass,1440.0,8000.0,-1500.0
50,2024-10-18,q4_2024_external,2024-10-18T17:31:00+00:00,SPXW-20241018-05850.000-C,CALL,1,28150.0,230.0,1600.0,True,pass,1600.0,8000.0,-1500.0
51,2024-10-18,q4_2024_external,2024-10-18T18:09:00+00:00,SPXW-20241018-05850.000-C,CALL,1,28290.0,370.0,1689.9999999999998,True,pass,1690.0,8000.0,-1500.0
52,2024-10-21,q4_2024_external,2024-10-21T14:03:00+00:00,SPXW-20241021-05845.000-C,CALL,1,28590.0,0.0,1840.0,True,pass,1840.0,8000.0,-1500.0
53,2024-10-21,q4_2024_external,2024-10-21T14:28:00+00:00,SPXW-20241021-05870.000-P,PUT,1,28730.0,140.0,1490.0,True,pass,1490.0,8000.0,-1500.0
54,2024-10-21,q4_2024_external,2024-10-21T15:02:00+00:00,SPXW-20241021-05845.000-P,PUT,1,29770.0,1180.0,960.0,True,pass,960.0,8000.0,-1500.0
55,2024-10-22,q4_2024_external,2024-10-22T14:01:00+00:00,SPXW-20241022-05815.000-C,CALL,1,30760.0,0.0,2160.0,True,pass,2160.0,8000.0,-1500.0
56,2024-10-22,q4_2024_external,2024-10-22T14:27:00+00:00,SPXW-20241022-05810.000-C,CALL,1,31020.0,260.0,2620.0,True,pass,2620.0,8000.0,-1500.0
57,2024-10-22,q4_2024_external,2024-10-22T14:44:00+00:00,SPXW-20241022-05845.000-P,PUT,1,30940.0,180.0,1670.0,True,pass,1670.0,8000.0,-1500.0
58,2024-10-23,q4_2024_external,2024-10-23T14:04:00+00:00,SPXW-20241023-05840.000-P,PUT,1,30280.0,0.0,1580.0,True,pass,1580.0,8000.0,-1500.0
59,2024-10-23,q4_2024_external,2024-10-23T14:54:00+00:00,SPXW-20241023-05835.000-P,PUT,2,30560.0,280.0,3080.0,True,pass,3080.0,8000.0,-1500.0
60,2024-10-23,q4_2024_external,2024-10-23T15:11:00+00:00,SPXW-20241023-05835.000-P,PUT,1,30700.0,420.0,1870.0,True,pass,1870.0,8000.0,-1500.0
61,2024-10-24,q4_2024_external,2024-10-24T14:02:00+00:00,SPXW-20241024-05790.000-C,CALL,1,31520.0,0.0,2680.0,True,pass,2680.0,8000.0,-1500.0
62,2024-10-24,q4_2024_external,2024-10-24T14:32:00+00:00,SPXW-20241024-05795.000-C,CALL,1,31270.0,-250.0,2170.0,True,pass,2170.0,8000.0,-1500.0
63,2024-10-25,q4_2024_external,2024-10-25T14:01:00+00:00,SPXW-20241025-05840.000-C,CALL,1,30890.0,0.0,1960.0,True,pass,1960.0,8000.0,-1500.0
64,2024-10-25,q4_2024_external,2024-10-25T15:26:00+00:00,SPXW-20241025-05855.000-P,PUT,1,31110.0,220.0,1190.0,True,pass,1190.0,8000.0,-1500.0
65,2024-10-25,q4_2024_external,2024-10-25T17:30:00+00:00,SPXW-20241025-05835.000-P,PUT,2,31930.0,1040.0,3080.0,True,pass,3080.0,8000.0,-1500.0
66,2024-10-25,q4_2024_external,2024-10-25T17:47:00+00:00,SPXW-20241025-05780.000-C,CALL,1,33130.0,2240.0,3290.0,True,pass,3290.0,8000.0,-1500.0
67,2024-10-25,q4_2024_external,2024-10-25T18:13:00+00:00,SPXW-20241025-05780.000-C,CALL,1,33860.0,2970.0,2620.0,True,pass,2620.0,8000.0,-1500.0
68,2024-10-28,q4_2024_external,2024-10-28T14:23:00+00:00,SPXW-20241028-05810.000-C,CALL,1,34560.0,0.0,3100.0,True,pass,3100.0,8000.0,-1500.0
69,2024-10-28,q4_2024_external,2024-10-28T14:49:00+00:00,SPXW-20241028-05820.000-C,CALL,1,34590.0,30.0,2340.0,True,pass,2340.0,8000.0,-1500.0
70,2024-10-29,q4_2024_external,2024-10-29T14:01:00+00:00,SPXW-20241029-05785.000-C,CALL,1,34380.0,0.0,3400.0,True,pass,3400.0,8000.0,-1500.0
71,2024-10-29,q4_2024_external,2024-10-29T14:30:00+00:00,SPXW-20241029-05810.000-C,CALL,1,34750.0,370.0,1810.0,True,pass,1810.0,8000.0,-1500.0
72,2024-10-29,q4_2024_external,2024-10-29T14:57:00+00:00,SPXW-20241029-05805.000-C,CALL,1,35110.0,730.0,2780.0,True,pass,2780.0,8000.0,-1500.0
73,2024-10-30,q4_2024_external,2024-10-30T14:00:00+00:00,SPXW-20241030-05810.000-C,CALL,1,35150.0,0.0,2950.0,True,pass,2950.0,8000.0,-1500.0
74,2024-10-30,q4_2024_external,2024-10-30T14:37:00+00:00,SPXW-20241030-05825.000-C,CALL,1,35720.0,570.0,2210.0,True,pass,2210.0,8000.0,-1500.0
75,2024-10-30,q4_2024_external,2024-10-30T15:01:00+00:00,SPXW-20241030-05825.000-C,CALL,1,35660.0,510.0,1930.0,True,pass,1930.0,8000.0,-1500.0
76,2024-10-31,q4_2024_external,2024-10-31T14:17:00+00:00,SPXW-20241031-05720.000-C,CALL,1,35510.0,0.0,3400.0,True,pass,3400.0,8000.0,-1500.0
77,2024-10-31,q4_2024_external,2024-10-31T15:20:00+00:00,SPXW-20241031-05710.000-C,CALL,1,34490.0,-1020.0,2340.0,True,pass,2340.0,8000.0,-1500.0
78,2024-10-31,q4_2024_external,2024-10-31T18:30:00+00:00,SPXW-20241031-05705.000-C,CALL,1,34180.0,-1330.0,1890.0,True,pass,1890.0,8000.0,-1500.0
80,2024-11-01,q4_2024_external,2024-11-01T14:07:00+00:00,SPXW-20241101-05730.000-C,CALL,1,33960.0,0.0,2640.0,True,pass,2640.0,8000.0,-1500.0
81,2024-11-01,q4_2024_external,2024-11-01T15:04:00+00:00,SPXW-20241101-05745.000-C,CALL,1,35130.0,1170.0,2200.0,True,pass,2200.0,8000.0,-1500.0
82,2024-11-01,q4_2024_external,2024-11-01T18:04:00+00:00,SPXW-20241101-05715.000-C,CALL,2,35200.0,1240.0,4720.0,True,pass,4720.0,8000.0,-1500.0
83,2024-11-01,q4_2024_external,2024-11-01T18:38:00+00:00,SPXW-20241101-05750.000-P,PUT,1,35080.0,1120.0,1410.0,True,pass,1410.0,8000.0,-1500.0
84,2024-11-01,q4_2024_external,2024-11-01T19:06:00+00:00,SPXW-20241101-05710.000-C,CALL,1,35010.0,1050.0,2970.0,True,pass,2970.0,8000.0,-1500.0
85,2024-11-04,q4_2024_external,2024-11-04T15:01:00+00:00,SPXW-20241104-05700.000-C,CALL,1,35620.0,0.0,3479.9999999999995,True,pass,3480.0,8000.0,-1500.0
86,2024-11-04,q4_2024_external,2024-11-04T15:29:00+00:00,SPXW-20241104-05720.000-C,CALL,1,35770.0,150.0,2270.0,True,pass,2270.0,8000.0,-1500.0
87,2024-11-05,q4_2024_external,2024-11-05T15:08:00+00:00,SPXW-20241105-05745.000-C,CALL,1,35680.0,0.0,2110.0,True,pass,2110.0,8000.0,-1500.0
88,2024-11-05,q4_2024_external,2024-11-05T15:36:00+00:00,SPXW-20241105-05740.000-C,CALL,1,35900.0,220.0,2630.0,True,pass,2630.0,8000.0,-1500.0
89,2024-11-05,q4_2024_external,2024-11-05T16:07:00+00:00,SPXW-20241105-05735.000-C,CALL,1,36530.0,850.0,2860.0,True,pass,2860.0,8000.0,-1500.0
90,2024-11-05,q4_2024_external,2024-11-05T16:24:00+00:00,SPXW-20241105-05740.000-C,CALL,1,36840.0,1160.0,2970.0,True,pass,2970.0,8000.0,-1500.0
91,2024-11-05,q4_2024_external,2024-11-05T18:37:00+00:00,SPXW-20241105-05770.000-P,PUT,2,37020.0,1340.0,1739.9999999999998,True,pass,1740.0,8000.0,-1500.0
92,2024-11-05,q4_2024_external,2024-11-05T19:00:00+00:00,SPXW-20241105-05740.000-C,CALL,1,36700.0,1020.0,3090.0,True,pass,3090.0,8000.0,-1500.0
93,2024-11-05,q4_2024_external,2024-11-05T19:21:00+00:00,SPXW-20241105-05745.000-C,CALL,2,36910.0,1230.0,5280.0,True,pass,5280.0,8000.0,-1500.0
94,2024-11-06,q4_2024_external,2024-11-06T15:00:00+00:00,SPXW-20241106-05860.000-C,CALL,1,37310.0,0.0,3070.0,True,pass,3070.0,8000.0,-1500.0
95,2024-11-06,q4_2024_external,2024-11-06T15:26:00+00:00,SPXW-20241106-05875.000-C,CALL,1,38760.0,1450.0,3240.0,True,pass,3240.0,8000.0,-1500.0
96,2024-11-06,q4_2024_external,2024-11-06T16:00:00+00:00,SPXW-20241106-05910.000-P,PUT,1,37750.0,440.0,2670.0,True,pass,2670.0,8000.0,-1500.0
97,2024-11-06,q4_2024_external,2024-11-06T18:32:00+00:00,SPXW-20241106-05910.000-C,CALL,1,37160.0,-150.0,1340.0,True,pass,1340.0,8000.0,-1500.0
98,2024-11-06,q4_2024_external,2024-11-06T18:54:00+00:00,SPXW-20241106-05890.000-C,CALL,1,37260.0,-50.0,3100.0,True,pass,3100.0,8000.0,-1500.0
99,2024-11-06,q4_2024_external,2024-11-06T19:19:00+00:00,SPXW-20241106-05895.000-C,CALL,1,37240.0,-70.0,2640.0,True,pass,2640.0,8000.0,-1500.0
100,2024-11-06,q4_2024_external,2024-11-06T19:36:00+00:00,SPXW-20241106-05895.000-C,CALL,1,37430.0,120.0,2850.0,True,pass,2850.0,8000.0,-1500.0
101,2024-11-07,q4_2024_external,2024-11-07T15:01:00+00:00,SPXW-20241107-05930.000-C,CALL,1,37330.0,0.0,3420.0000000000005,True,pass,3420.0,8000.0,-1500.0
102,2024-11-07,q4_2024_external,2024-11-07T15:36:00+00:00,SPXW-20241107-05935.000-C,CALL,1,37390.0,60.0,3190.0,True,pass,3190.0,8000.0,-1500.0
103,2024-11-08,q4_2024_external,2024-11-08T15:01:00+00:00,SPXW-20241108-05965.000-C,CALL,1,37770.0,0.0,2770.0,True,pass,2770.0,8000.0,-1500.0
104,2024-11-08,q4_2024_external,2024-11-08T15:27:00+00:00,SPXW-20241108-05975.000-C,CALL,1,37650.0,-120.0,1840.0,True,pass,1840.0,8000.0,-1500.0
105,2024-11-11,q4_2024_external,2024-11-11T15:04:00+00:00,SPXW-20241111-06010.000-P,PUT,1,37750.0,0.0,1030.0,True,pass,1030.0,8000.0,-1500.0
106,2024-11-11,q4_2024_external,2024-11-11T15:55:00+00:00,SPXW-20241111-06000.000-C,CALL,1,37750.0,0.0,1580.0,True,pass,1580.0,8000.0,-1500.0
107,2024-11-12,q4_2024_external,2024-11-12T15:02:00+00:00,SPXW-20241112-06035.000-P,PUT,1,37590.0,0.0,3150.0,True,pass,3150.0,8000.0,-1500.0
108,2024-11-12,q4_2024_external,2024-11-12T15:44:00+00:00,SPXW-20241112-06010.000-P,PUT,1,38190.0,600.0,1770.0,True,pass,1770.0,8000.0,-1500.0
109,2024-11-13,q4_2024_external,2024-11-13T15:00:00+00:00,SPXW-20241113-05985.000-P,PUT,1,38460.0,0.0,910.0,True,pass,910.0,8000.0,-1500.0
110,2024-11-13,q4_2024_external,2024-11-13T15:32:00+00:00,SPXW-20241113-05960.000-C,CALL,2,39430.0,970.0,4920.0,True,pass,4920.0,8000.0,-1500.0
111,2024-11-13,q4_2024_external,2024-11-13T16:27:00+00:00,SPXW-20241113-05970.000-C,CALL,1,39970.0,1510.0,2490.0,True,pass,2490.0,8000.0,-1500.0
112,2024-11-14,q4_2024_external,2024-11-14T15:12:00+00:00,SPXW-20241114-05985.000-P,PUT,1,40180.0,0.0,1620.0,True,pass,1620.0,8000.0,-1500.0
113,2024-11-14,q4_2024_external,2024-11-14T15:56:00+00:00,SPXW-20241114-05995.000-P,PUT,1,40020.0,-160.0,1689.9999999999998,True,pass,1690.0,8000.0,-1500.0
114,2024-11-14,q4_2024_external,2024-11-14T20:06:00+00:00,SPXW-20241114-05955.000-P,PUT,2,40460.0,280.0,1460.0,True,pass,1460.0,8000.0,-1500.0
115,2024-11-15,q4_2024_external,2024-11-15T15:00:00+00:00,SPXW-20241115-05925.000-P,PUT,1,40360.0,0.0,2740.0,True,pass,2740.0,8000.0,-1500.0
116,2024-11-15,q4_2024_external,2024-11-15T15:26:00+00:00,SPXW-20241115-05900.000-P,PUT,1,41600.0,1240.0,2110.0,True,pass,2110.0,8000.0,-1500.0
117,2024-11-15,q4_2024_external,2024-11-15T15:51:00+00:00,SPXW-20241115-05895.000-P,PUT,2,41760.0,1400.0,3060.0,True,pass,3060.0,8000.0,-1500.0
118,2024-11-18,q4_2024_external,2024-11-18T15:01:00+00:00,SPXW-20241118-05845.000-C,CALL,1,42400.0,0.0,2960.0,True,pass,2960.0,8000.0,-1500.0
119,2024-11-18,q4_2024_external,2024-11-18T15:26:00+00:00,SPXW-20241118-05870.000-C,CALL,1,43020.0,620.0,1739.9999999999998,True,pass,1740.0,8000.0,-1500.0
120,2024-11-19,q4_2024_external,2024-11-19T15:01:00+00:00,SPXW-20241119-05840.000-C,CALL,1,43960.0,0.0,2780.0,True,pass,2780.0,8000.0,-1500.0
121,2024-11-19,q4_2024_external,2024-11-19T15:15:00+00:00,SPXW-20241119-05885.000-P,PUT,1,44280.0,320.0,2410.0,True,pass,2410.0,8000.0,-1500.0
122,2024-11-19,q4_2024_external,2024-11-19T15:41:00+00:00,SPXW-20241119-05855.000-C,CALL,1,43130.0,-830.0,3160.0,True,pass,3160.0,8000.0,-1500.0
123,2024-11-19,q4_2024_external,2024-11-19T18:33:00+00:00,SPXW-20241119-05890.000-C,CALL,1,43910.0,-50.0,1910.0,True,pass,1910.0,8000.0,-1500.0
124,2024-11-19,q4_2024_external,2024-11-19T19:36:00+00:00,SPXW-20241119-05880.000-C,CALL,2,45370.0,1410.0,5260.0,True,pass,5260.0,8000.0,-1500.0
125,2024-11-20,q4_2024_external,2024-11-20T15:05:00+00:00,SPXW-20241120-05890.000-P,PUT,1,45530.0,0.0,1430.0,True,pass,1430.0,8000.0,-1500.0
126,2024-11-20,q4_2024_external,2024-11-20T15:24:00+00:00,SPXW-20241120-05845.000-C,CALL,1,46980.0,1450.0,2870.0,True,pass,2870.0,8000.0,-1500.0
127,2024-11-20,q4_2024_external,2024-11-20T15:49:00+00:00,SPXW-20241120-05855.000-C,CALL,1,48190.0,2660.0,3200.0,True,pass,3200.0,8000.0,-1500.0
128,2024-11-20,q4_2024_external,2024-11-20T16:06:00+00:00,SPXW-20241120-05890.000-P,PUT,1,48570.0,3040.0,1380.0,True,pass,1380.0,8000.0,-1500.0
129,2024-11-20,q4_2024_external,2024-11-20T16:27:00+00:00,SPXW-20241120-05895.000-P,PUT,1,49040.0,3510.0,2400.0,True,pass,2400.0,8000.0,-1500.0
130,2024-11-21,q4_2024_external,2024-11-21T15:01:00+00:00,SPXW-20241121-05915.000-P,PUT,1,49410.0,0.0,2300.0,True,pass,2300.0,8000.0,-1500.0
131,2024-11-21,q4_2024_external,2024-11-21T15:12:00+00:00,SPXW-20241121-05890.000-C,CALL,1,49870.0,460.0,2300.0,True,pass,2300.0,8000.0,-1500.0
132,2024-11-21,q4_2024_external,2024-11-21T15:26:00+00:00,SPXW-20241121-05915.000-P,PUT,1,51150.0,1740.0,2240.0,True,pass,2240.0,8000.0,-1500.0
133,2024-11-21,q4_2024_external,2024-11-21T15:33:00+00:00,SPXW-20241121-05870.000-C,CALL,1,52030.0,2620.0,2920.0,True,pass,2920.0,8000.0,-1500.0
134,2024-11-22,q4_2024_external,2024-11-22T15:01:00+00:00,SPXW-20241122-05950.000-C,CALL,1,55120.0,0.0,2380.0,True,pass,2380.0,8000.0,-1500.0
135,2024-11-22,q4_2024_external,2024-11-22T15:26:00+00:00,SPXW-20241122-05975.000-P,PUT,1,54460.0,-660.0,2150.0,True,pass,2150.0,8000.0,-1500.0
136,2024-11-22,q4_2024_external,2024-11-22T15:38:00+00:00,SPXW-20241122-05950.000-C,CALL,1,54670.0,-450.0,1440.0,True,pass,1440.0,8000.0,-1500.0
137,2024-11-22,q4_2024_external,2024-11-22T15:59:00+00:00,SPXW-20241122-05940.000-C,CALL,1,55170.0,50.0,3070.0,True,pass,3070.0,8000.0,-1500.0
138,2024-11-22,q4_2024_external,2024-11-22T18:30:00+00:00,SPXW-20241122-05950.000-C,CALL,1,54330.0,-790.0,2010.0,True,pass,2010.0,8000.0,-1500.0
139,2024-11-25,q4_2024_external,2024-11-25T15:00:00+00:00,SPXW-20241125-06010.000-P,PUT,1,53820.0,0.0,1230.0,True,pass,1230.0,8000.0,-1500.0
140,2024-11-25,q4_2024_external,2024-11-25T15:17:00+00:00,SPXW-20241125-06000.000-P,PUT,2,54500.0,680.0,1940.0,True,pass,1940.0,8000.0,-1500.0
141,2024-11-25,q4_2024_external,2024-11-25T15:39:00+00:00,SPXW-20241125-06010.000-P,PUT,2,54800.0,980.0,3240.0,True,pass,3240.0,8000.0,-1500.0
142,2024-11-25,q4_2024_external,2024-11-25T16:21:00+00:00,SPXW-20241125-05985.000-C,CALL,2,55440.0,1620.0,2700.0,True,pass,2700.0,8000.0,-1500.0
143,2024-11-26,q4_2024_external,2024-11-26T15:02:00+00:00,SPXW-20241126-05975.000-C,CALL,1,54320.0,0.0,2820.0,True,pass,2820.0,8000.0,-1500.0
144,2024-11-26,q4_2024_external,2024-11-26T15:34:00+00:00,SPXW-20241126-06005.000-P,PUT,1,53900.0,-420.0,1200.0,True,pass,1200.0,8000.0,-1500.0
145,2024-11-26,q4_2024_external,2024-11-26T16:01:00+00:00,SPXW-20241126-05975.000-C,CALL,1,53500.0,-820.0,3090.0,True,pass,3090.0,8000.0,-1500.0
146,2024-11-27,q4_2024_external,2024-11-27T15:01:00+00:00,SPXW-20241127-06025.000-P,PUT,1,53430.0,0.0,1550.0,True,pass,1550.0,8000.0,-1500.0
147,2024-11-27,q4_2024_external,2024-11-27T15:27:00+00:00,SPXW-20241127-06040.000-P,PUT,1,53580.0,150.0,3329.9999999999995,True,pass,3330.0,8000.0,-1500.0
148,2024-11-27,q4_2024_external,2024-11-27T15:48:00+00:00,SPXW-20241127-06005.000-P,PUT,1,53750.0,320.0,740.0,True,pass,740.0,8000.0,-1500.0
149,2024-11-27,q4_2024_external,2024-11-27T16:00:00+00:00,SPXW-20241127-06035.000-P,PUT,1,53910.0,480.0,3490.0,True,pass,3490.0,8000.0,-1500.0
150,2024-11-29,q4_2024_external,2024-11-29T15:00:00+00:00,SPXW-20241129-05985.000-C,CALL,1,54070.0,0.0,3390.0,True,pass,3390.0,8000.0,-1500.0
151,2024-12-02,q4_2024_external,2024-12-02T15:32:00+00:00,SPXW-20241202-06010.000-C,CALL,1,54780.0,0.0,3470.0000000000005,True,pass,3470.0,8000.0,-1500.0
