trade_number,session,decision_time,contract_id,side,entry_bid,entry_ask,premium_required,premium_cap,cash,daily_pnl_before,risk_passed,risk_reason,paper_pnl
45,2024-10-17,2024-10-17T15:02:00+00:00,SPXW-20241017-05870.000-P,PUT,23.5,24.0,2400.0,4000.0,28280.0,540.0,True,pass,-500.0
46,2024-10-17,2024-10-17T18:11:00+00:00,SPXW-20241017-05855.000-P,PUT,11.1,11.3,1130.0,4000.0,27780.0,40.0,True,pass,139.99999999999986
47,2024-10-18,2024-10-18T14:03:00+00:00,SPXW-20241018-05830.000-C,CALL,25.7,26.2,2620.0,4000.0,27920.0,0.0,True,pass,-9.999999999999789
48,2024-10-18,2024-10-18T14:40:00+00:00,SPXW-20241018-05840.000-C,CALL,17.5,17.9,1790.0,4000.0,27910.0,-10.0,True,pass,90.00000000000021
49,2024-10-18,2024-10-18T15:06:00+00:00,SPXW-20241018-05845.000-C,CALL,14.2,14.4,1440.0,4000.0,28000.0,80.0,True,pass,150.0
50,2024-10-18,2024-10-18T17:31:00+00:00,SPXW-20241018-05850.000-C,CALL,15.5,16.0,1600.0,4000.0,28150.0,230.0,True,pass,139.99999999999986
51,2024-10-18,2024-10-18T18:09:00+00:00,SPXW-20241018-05850.000-C,CALL,16.6,16.9,1690.0,4000.0,28290.0,370.0,True,pass,300.0
52,2024-10-21,2024-10-21T14:03:00+00:00,SPXW-20241021-05845.000-C,CALL,17.9,18.4,1840.0,4000.0,28590.0,0.0,True,pass,140.00000000000023
53,2024-10-21,2024-10-21T14:28:00+00:00,SPXW-20241021-05870.000-P,PUT,14.4,14.9,1490.0,4000.0,28730.0,140.0,True,pass,1040.0
54,2024-10-21,2024-10-21T15:02:00+00:00,SPXW-20241021-05845.000-P,PUT,9.4,9.6,960.0,4000.0,29770.0,1180.0,True,pass,990.0
55,2024-10-22,2024-10-22T14:01:00+00:00,SPXW-20241022-05815.000-C,CALL,21.1,21.6,2160.0,4000.0,30760.0,0.0,True,pass,259.9999999999998
56,2024-10-22,2024-10-22T14:27:00+00:00,SPXW-20241022-05810.000-C,CALL,25.7,26.2,2620.0,4000.0,31020.0,260.0,True,pass,-80.00000000000007
57,2024-10-22,2024-10-22T14:44:00+00:00,SPXW-20241022-05845.000-P,PUT,16.2,16.7,1670.0,4000.0,30940.0,180.0,True,pass,-660.0
58,2024-10-23,2024-10-23T14:04:00+00:00,SPXW-20241023-05840.000-P,PUT,15.6,15.8,1580.0,4000.0,30280.0,0.0,True,pass,280.00000000000006
59,2024-10-23,2024-10-23T14:54:00+00:00,SPXW-20241023-05835.000-P,PUT,15.2,15.4,1540.0,4000.0,30560.0,280.0,True,pass,70.00000000000011
60,2024-10-23,2024-10-23T15:11:00+00:00,SPXW-20241023-05835.000-P,PUT,18.3,18.7,1870.0,4000.0,30630.0,350.0,True,pass,819.9999999999999
61,2024-10-24,2024-10-24T14:02:00+00:00,SPXW-20241024-05790.000-C,CALL,26.3,26.8,2680.0,4000.0,31450.0,0.0,True,pass,-250.0
62,2024-10-24,2024-10-24T14:32:00+00:00,SPXW-20241024-05795.000-C,CALL,21.5,21.7,2170.0,4000.0,31200.0,-250.0,True,pass,-380.00000000000006
63,2024-10-25,2024-10-25T14:01:00+00:00,SPXW-20241025-05840.000-C,CALL,19.1,19.6,1960.0,4000.0,30820.0,0.0,True,pass,219.99999999999991
64,2024-10-25,2024-10-25T15:26:00+00:00,SPXW-20241025-05855.000-P,PUT,11.7,11.9,1190.0,4000.0,31040.0,220.0,True,pass,820.0000000000001
65,2024-10-25,2024-10-25T17:30:00+00:00,SPXW-20241025-05835.000-P,PUT,15.2,15.4,1540.0,4000.0,31860.0,1040.0,True,pass,599.9999999999998
66,2024-10-25,2024-10-25T17:47:00+00:00,SPXW-20241025-05780.000-C,CALL,32.5,32.9,3290.0,4000.0,32460.0,1640.0,True,pass,730.0000000000005
67,2024-10-25,2024-10-25T18:13:00+00:00,SPXW-20241025-05780.000-C,CALL,25.8,26.2,2620.0,4000.0,33190.0,2370.0,True,pass,700.0000000000003
68,2024-10-28,2024-10-28T14:23:00+00:00,SPXW-20241028-05810.000-C,CALL,30.8,31.0,3100.0,4000.0,33890.0,0.0,True,pass,30.00000000000007
69,2024-10-28,2024-10-28T14:49:00+00:00,SPXW-20241028-05820.000-C,CALL,23.2,23.4,2340.0,4000.0,33920.0,30.0,True,pass,-209.99999999999977
70,2024-10-29,2024-10-29T14:01:00+00:00,SPXW-20241029-05785.000-C,CALL,33.5,34.0,3400.0,4000.0,33710.0,0.0,True,pass,370.0000000000003
71,2024-10-29,2024-10-29T14:30:00+00:00,SPXW-20241029-05810.000-C,CALL,17.7,18.1,1810.0,4000.0,34080.0,370.0,True,pass,359.9999999999998
72,2024-10-29,2024-10-29T14:57:00+00:00,SPXW-20241029-05805.000-C,CALL,27.4,27.8,2780.0,4000.0,34440.0,730.0,True,pass,39.99999999999986
73,2024-10-30,2024-10-30T14:00:00+00:00,SPXW-20241030-05810.000-C,CALL,29.2,29.5,2950.0,4000.0,34480.0,0.0,True,pass,570.0000000000002
74,2024-10-30,2024-10-30T14:37:00+00:00,SPXW-20241030-05825.000-C,CALL,21.8,22.1,2210.0,4000.0,35050.0,570.0,True,pass,-60.00000000000014
75,2024-10-30,2024-10-30T15:01:00+00:00,SPXW-20241030-05825.000-C,CALL,19.0,19.3,1930.0,4000.0,34990.0,510.0,True,pass,-150.0
76,2024-10-31,2024-10-31T14:17:00+00:00,SPXW-20241031-05720.000-C,CALL,33.7,34.0,3400.0,4000.0,34840.0,0.0,True,pass,-1020.0
77,2024-10-31,2024-10-31T15:20:00+00:00,SPXW-20241031-05710.000-C,CALL,23.1,23.4,2340.0,4000.0,33820.0,-1020.0,False,daily_loss_stop,-309.9999999999998
78,2024-10-31,2024-10-31T18:30:00+00:00,SPXW-20241031-05705.000-C,CALL,18.6,18.9,1890.0,4000.0,33510.0,-1330.0,False,daily_loss_stop,-219.99999999999991
79,2024-10-31,2024-10-31T19:20:00+00:00,SPXW-20241031-05705.000-C,CALL,26.4,26.7,2670.0,4000.0,33290.0,-1550.0,False,daily_loss_stop,-530.0000000000001
80,2024-11-01,2024-11-01T14:07:00+00:00,SPXW-20241101-05730.000-C,CALL,26.2,26.4,2640.0,4000.0,32760.0,0.0,True,pass,1170.0000000000002
81,2024-11-01,2024-11-01T15:04:00+00:00,SPXW-20241101-05745.000-C,CALL,21.8,22.0,2200.0,4000.0,33930.0,1170.0,True,pass,69.99999999999993
82,2024-11-01,2024-11-01T18:04:00+00:00,SPXW-20241101-05715.000-C,CALL,23.3,23.6,2360.0,4000.0,34000.0,1240.0,True,pass,-60.00000000000014
83,2024-11-01,2024-11-01T18:38:00+00:00,SPXW-20241101-05750.000-P,PUT,13.8,14.1,1410.0,4000.0,33940.0,1180.0,True,pass,-69.99999999999993
84,2024-11-01,2024-11-01T19:06:00+00:00,SPXW-20241101-05710.000-C,CALL,29.4,29.7,2970.0,4000.0,33870.0,1110.0,True,pass,609.9999999999998
85,2024-11-04,2024-11-04T15:01:00+00:00,SPXW-20241104-05700.000-C,CALL,34.5,34.8,3480.0,4000.0,34480.0,0.0,True,pass,150.0
86,2024-11-04,2024-11-04T15:29:00+00:00,SPXW-20241104-05720.000-C,CALL,22.5,22.7,2270.0,4000.0,34630.0,150.0,True,pass,-89.99999999999986
87,2024-11-05,2024-11-05T15:08:00+00:00,SPXW-20241105-05745.000-C,CALL,20.9,21.1,2110.0,4000.0,34540.0,0.0,True,pass,219.99999999999991
88,2024-11-05,2024-11-05T15:36:00+00:00,SPXW-20241105-05740.000-C,CALL,26.0,26.3,2630.0,4000.0,34760.0,220.0,True,pass,630.0000000000001
89,2024-11-05,2024-11-05T16:07:00+00:00,SPXW-20241105-05735.000-C,CALL,28.1,28.6,2860.0,4000.0,35390.0,850.0,True,pass,309.9999999999998
90,2024-11-05,2024-11-05T16:24:00+00:00,SPXW-20241105-05740.000-C,CALL,29.3,29.7,2970.0,4000.0,35700.0,1160.0,True,pass,180.00000000000006
91,2024-11-05,2024-11-05T18:37:00+00:00,SPXW-20241105-05770.000-P,PUT,8.5,8.7,870.0,4000.0,35880.0,1340.0,True,pass,-159.99999999999997
92,2024-11-05,2024-11-05T19:00:00+00:00,SPXW-20241105-05740.000-C,CALL,30.5,30.9,3090.0,4000.0,35720.0,1180.0,True,pass,210.00000000000017
93,2024-11-05,2024-11-05T19:21:00+00:00,SPXW-20241105-05745.000-C,CALL,26.1,26.4,2640.0,4000.0,35930.0,1390.0,True,pass,200.0
94,2024-11-06,2024-11-06T15:00:00+00:00,SPXW-20241106-05860.000-C,CALL,30.3,30.7,3070.0,4000.0,36130.0,0.0,True,pass,1450.0000000000005
95,2024-11-06,2024-11-06T15:26:00+00:00,SPXW-20241106-05875.000-C,CALL,32.0,32.4,3240.0,4000.0,37580.0,1450.0,True,pass,-1009.9999999999998
96,2024-11-06,2024-11-06T16:00:00+00:00,SPXW-20241106-05910.000-P,PUT,26.3,26.7,2670.0,4000.0,36570.0,440.0,True,pass,-589.9999999999999
97,2024-11-06,2024-11-06T18:32:00+00:00,SPXW-20241106-05910.000-C,CALL,13.2,13.4,1340.0,4000.0,35980.0,-150.0,True,pass,100.0
98,2024-11-06,2024-11-06T18:54:00+00:00,SPXW-20241106-05890.000-C,CALL,30.7,31.0,3100.0,4000.0,36080.0,-50.0,True,pass,-19.99999999999993
99,2024-11-06,2024-11-06T19:19:00+00:00,SPXW-20241106-05895.000-C,CALL,26.0,26.4,2640.0,4000.0,36060.0,-70.0,True,pass,190.00000000000023
100,2024-11-06,2024-11-06T19:36:00+00:00,SPXW-20241106-05895.000-C,CALL,28.1,28.5,2850.0,4000.0,36250.0,120.0,True,pass,-100.0
101,2024-11-07,2024-11-07T15:01:00+00:00,SPXW-20241107-05930.000-C,CALL,33.8,34.2,3420.0,4000.0,36150.0,0.0,True,pass,59.99999999999943
102,2024-11-07,2024-11-07T15:36:00+00:00,SPXW-20241107-05935.000-C,CALL,31.6,31.9,3190.0,4000.0,36210.0,60.0,True,pass,380.00000000000045
103,2024-11-08,2024-11-08T15:01:00+00:00,SPXW-20241108-05965.000-C,CALL,27.2,27.7,2770.0,4000.0,36590.0,0.0,True,pass,-119.99999999999991
104,2024-11-08,2024-11-08T15:27:00+00:00,SPXW-20241108-05975.000-C,CALL,18.0,18.4,1840.0,4000.0,36470.0,-120.0,True,pass,100.0
105,2024-11-11,2024-11-11T15:04:00+00:00,SPXW-20241111-06010.000-P,PUT,10.1,10.3,1030.0,4000.0,36570.0,0.0,True,pass,0.0
106,2024-11-11,2024-11-11T15:55:00+00:00,SPXW-20241111-06000.000-C,CALL,15.5,15.8,1580.0,4000.0,36570.0,0.0,True,pass,-160.00000000000014
107,2024-11-12,2024-11-12T15:02:00+00:00,SPXW-20241112-06035.000-P,PUT,31.0,31.5,3150.0,4000.0,36410.0,0.0,True,pass,600.0
108,2024-11-12,2024-11-12T15:44:00+00:00,SPXW-20241112-06010.000-P,PUT,17.2,17.7,1770.0,4000.0,37010.0,600.0,True,pass,269.99999999999994
109,2024-11-13,2024-11-13T15:00:00+00:00,SPXW-20241113-05985.000-P,PUT,8.9,9.1,910.0,4000.0,37280.0,0.0,True,pass,970.0
110,2024-11-13,2024-11-13T15:32:00+00:00,SPXW-20241113-05960.000-C,CALL,24.2,24.6,2460.0,4000.0,38250.0,970.0,True,pass,269.99999999999994
111,2024-11-13,2024-11-13T16:27:00+00:00,SPXW-20241113-05970.000-C,CALL,24.4,24.9,2490.0,4000.0,38520.0,1240.0,True,pass,210.00000000000017
112,2024-11-14,2024-11-14T15:12:00+00:00,SPXW-20241114-05985.000-P,PUT,16.0,16.2,1620.0,4000.0,38730.0,0.0,True,pass,-159.99999999999997
113,2024-11-14,2024-11-14T15:56:00+00:00,SPXW-20241114-05995.000-P,PUT,16.4,16.9,1690.0,4000.0,38570.0,-160.0,True,pass,440.0000000000002
114,2024-11-14,2024-11-14T20:06:00+00:00,SPXW-20241114-05955.000-P,PUT,7.1,7.3,730.0,4000.0,39010.0,280.0,True,pass,-50.0
115,2024-11-15,2024-11-15T15:00:00+00:00,SPXW-20241115-05925.000-P,PUT,27.0,27.4,2740.0,4000.0,38960.0,0.0,True,pass,1239.9999999999998
116,2024-11-15,2024-11-15T15:26:00+00:00,SPXW-20241115-05900.000-P,PUT,20.8,21.1,2110.0,4000.0,40200.0,1240.0,True,pass,159.99999999999977
117,2024-11-15,2024-11-15T15:51:00+00:00,SPXW-20241115-05895.000-P,PUT,15.1,15.3,1530.0,4000.0,40360.0,1400.0,True,pass,319.99999999999994
118,2024-11-18,2024-11-18T15:01:00+00:00,SPXW-20241118-05845.000-C,CALL,29.2,29.6,2960.0,4000.0,40680.0,0.0,True,pass,619.9999999999995
119,2024-11-18,2024-11-18T15:26:00+00:00,SPXW-20241118-05870.000-C,CALL,17.2,17.4,1740.0,4000.0,41300.0,620.0,True,pass,940.0000000000002
120,2024-11-19,2024-11-19T15:01:00+00:00,SPXW-20241119-05840.000-C,CALL,27.5,27.8,2780.0,4000.0,42240.0,0.0,True,pass,319.99999999999994
121,2024-11-19,2024-11-19T15:15:00+00:00,SPXW-20241119-05885.000-P,PUT,23.7,24.1,2410.0,4000.0,42560.0,320.0,True,pass,-1150.0000000000002
122,2024-11-19,2024-11-19T15:41:00+00:00,SPXW-20241119-05855.000-C,CALL,31.2,31.6,3160.0,4000.0,41410.0,-830.0,False,daily_loss_stop,779.9999999999998
123,2024-11-19,2024-11-19T18:33:00+00:00,SPXW-20241119-05890.000-C,CALL,18.7,19.1,1910.0,4000.0,42190.0,-50.0,True,pass,1460.0000000000002
124,2024-11-19,2024-11-19T19:36:00+00:00,SPXW-20241119-05880.000-C,CALL,25.8,26.3,2630.0,4000.0,43650.0,1410.0,True,pass,80.00000000000007
125,2024-11-20,2024-11-20T15:05:00+00:00,SPXW-20241120-05890.000-P,PUT,14.2,14.3,1430.0,4000.0,43730.0,0.0,True,pass,1450.0
126,2024-11-20,2024-11-20T15:24:00+00:00,SPXW-20241120-05845.000-C,CALL,28.3,28.7,2870.0,4000.0,45180.0,1450.0,True,pass,1209.9999999999998
127,2024-11-20,2024-11-20T15:49:00+00:00,SPXW-20241120-05855.000-C,CALL,31.6,32.0,3200.0,4000.0,46390.0,2660.0,True,pass,379.9999999999997
128,2024-11-20,2024-11-20T16:06:00+00:00,SPXW-20241120-05890.000-P,PUT,13.6,13.8,1380.0,4000.0,46770.0,3040.0,True,pass,469.99999999999994
129,2024-11-20,2024-11-20T16:27:00+00:00,SPXW-20241120-05895.000-P,PUT,23.5,24.0,2400.0,4000.0,47240.0,3510.0,True,pass,369.99999999999994
130,2024-11-21,2024-11-21T15:01:00+00:00,SPXW-20241121-05915.000-P,PUT,22.8,23.0,2300.0,4000.0,47610.0,0.0,True,pass,460.0000000000001
131,2024-11-21,2024-11-21T15:12:00+00:00,SPXW-20241121-05890.000-C,CALL,22.8,23.0,2300.0,4000.0,48070.0,460.0,True,pass,1279.9999999999998
132,2024-11-21,2024-11-21T15:26:00+00:00,SPXW-20241121-05915.000-P,PUT,22.2,22.4,2240.0,4000.0,49350.0,1740.0,True,pass,880.0000000000001
133,2024-11-21,2024-11-21T15:33:00+00:00,SPXW-20241121-05870.000-C,CALL,28.9,29.2,2920.0,4000.0,50230.0,2620.0,True,pass,3090.0
134,2024-11-22,2024-11-22T15:01:00+00:00,SPXW-20241122-05950.000-C,CALL,23.5,23.8,2380.0,4000.0,53320.0,0.0,True,pass,-660.0000000000001
135,2024-11-22,2024-11-22T15:26:00+00:00,SPXW-20241122-05975.000-P,PUT,21.1,21.5,2150.0,4000.0,52660.0,-660.0,True,pass,210.00000000000017
136,2024-11-22,2024-11-22T15:38:00+00:00,SPXW-20241122-05950.000-C,CALL,14.2,14.4,1440.0,4000.0,52870.0,-450.0,True,pass,499.99999999999983
137,2024-11-22,2024-11-22T15:59:00+00:00,SPXW-20241122-05940.000-C,CALL,30.3,30.7,3070.0,4000.0,53370.0,50.0,True,pass,-839.9999999999999
138,2024-11-22,2024-11-22T18:30:00+00:00,SPXW-20241122-05950.000-C,CALL,19.7,20.1,2010.0,4000.0,52530.0,-790.0,False,daily_loss_stop,-510.0000000000001
139,2024-11-25,2024-11-25T15:00:00+00:00,SPXW-20241125-06010.000-P,PUT,12.1,12.3,1230.0,4000.0,52020.0,0.0,True,pass,680.0000000000001
140,2024-11-25,2024-11-25T15:17:00+00:00,SPXW-20241125-06000.000-P,PUT,9.5,9.7,970.0,4000.0,52700.0,680.0,True,pass,150.0
141,2024-11-25,2024-11-25T15:39:00+00:00,SPXW-20241125-06010.000-P,PUT,15.7,16.2,1620.0,4000.0,52850.0,830.0,True,pass,319.99999999999994
142,2024-11-25,2024-11-25T16:21:00+00:00,SPXW-20241125-05985.000-C,CALL,13.2,13.5,1350.0,4000.0,53170.0,1150.0,True,pass,-560.0
143,2024-11-26,2024-11-26T15:02:00+00:00,SPXW-20241126-05975.000-C,CALL,27.8,28.2,2820.0,4000.0,52610.0,0.0,True,pass,-419.99999999999994
144,2024-11-26,2024-11-26T15:34:00+00:00,SPXW-20241126-06005.000-P,PUT,11.8,12.0,1200.0,4000.0,52190.0,-420.0,True,pass,-400.0
145,2024-11-26,2024-11-26T16:01:00+00:00,SPXW-20241126-05975.000-C,CALL,30.5,30.9,3090.0,4000.0,51790.0,-820.0,False,daily_loss_stop,-69.99999999999993
146,2024-11-27,2024-11-27T15:01:00+00:00,SPXW-20241127-06025.000-P,PUT,15.3,15.5,1550.0,4000.0,51720.0,0.0,True,pass,150.0
147,2024-11-27,2024-11-27T15:27:00+00:00,SPXW-20241127-06040.000-P,PUT,32.9,33.3,3330.0,4000.0,51870.0,150.0,True,pass,170.00000000000028
148,2024-11-27,2024-11-27T15:48:00+00:00,SPXW-20241127-06005.000-P,PUT,7.2,7.4,740.0,4000.0,52040.0,320.0,True,pass,159.99999999999997
149,2024-11-27,2024-11-27T16:00:00+00:00,SPXW-20241127-06035.000-P,PUT,34.4,34.9,3490.0,4000.0,52200.0,480.0,True,pass,160.00000000000014
150,2024-11-29,2024-11-29T15:00:00+00:00,SPXW-20241129-05985.000-C,CALL,33.4,33.9,3390.0,4000.0,52360.0,0.0,True,pass,710.0000000000001
151,2024-12-02,2024-12-02T15:32:00+00:00,SPXW-20241202-06010.000-C,CALL,34.2,34.7,3470.0,4000.0,53070.0,0.0,True,pass,-40.00000000000057
152,2024-12-02,2024-12-02T15:55:00+00:00,SPXW-20241202-06070.000-P,PUT,29.1,29.6,2960.0,4000.0,53030.0,-40.0,True,pass,-240.00000000000023
153,2024-12-03,2024-12-03T15:01:00+00:00,SPXW-20241203-06025.000-C,CALL,22.4,22.7,2270.0,4000.0,52790.0,0.0,True,pass,-669.9999999999999
154,2024-12-03,2024-12-03T15:26:00+00:00,SPXW-20241203-06045.000-P,PUT,11.0,11.2,1120.0,4000.0,52120.0,-670.0,True,pass,30.00000000000007
155,2024-12-04,2024-12-04T15:00:00+00:00,SPXW-20241204-06070.000-P,PUT,8.6,9.0,900.0,4000.0,52150.0,0.0,True,pass,69.99999999999993
156,2024-12-04,2024-12-04T15:15:00+00:00,SPXW-20241204-06095.000-P,PUT,30.4,30.8,3080.0,4000.0,52220.0,70.0,True,pass,-640.0000000000002
157,2024-12-04,2024-12-04T15:41:00+00:00,SPXW-20241204-06040.000-C,CALL,32.0,32.4,3240.0,4000.0,51580.0,-570.0,True,pass,110.00000000000014
158,2024-12-05,2024-12-05T15:01:00+00:00,SPXW-20241205-06055.000-C,CALL,34.3,34.8,3480.0,4000.0,51690.0,0.0,True,pass,-699.9999999999997
159,2024-12-05,2024-12-05T15:26:00+00:00,SPXW-20241205-06105.000-P,PUT,23.4,23.8,2380.0,4000.0,50990.0,-700.0,True,pass,119.99999999999991
160,2024-12-06,2024-12-06T15:06:00+00:00,SPXW-20241206-06085.000-C,CALL,13.8,14.0,1400.0,4000.0,51110.0,0.0,True,pass,180.00000000000006
